"","Var1","Freq","rank","web"
"8134","ErinBurnettCNN",116,57,"http://twitter.com/ErinBurnettCNN"
"8240","evagolinger",47,164,"http://twitter.com/evagolinger"
"8308","exiledsurfer",101,70,"http://twitter.com/exiledsurfer"
"8355","ezraklein",79,93,"http://twitter.com/ezraklein"
"8515","Fed_up_Fed",49,157,"http://twitter.com/Fed_up_Fed"
"8766","FollowLiberty",44,180,"http://twitter.com/FollowLiberty"
"8856","FoxNews",153,43,"http://twitter.com/FoxNews"
"8988","FreeInTX",103,68,"http://twitter.com/FreeInTX"
"9425","ggreenwald",94,76,"http://twitter.com/ggreenwald"
"9438","Ghostpickles",49,155,"http://twitter.com/Ghostpickles"
"9563","GlobalRevLive",117,56,"http://twitter.com/GlobalRevLive"
"9675","GOPLeader",46,170,"http://twitter.com/GOPLeader"
"9703","GottaLaff",133,49,"http://twitter.com/GottaLaff"
"9917","guardian",45,174,"http://twitter.com/guardian"
"10620","HuffingtonPost",107,64,"http://twitter.com/HuffingtonPost"
"10817","iboudreau",41,195,"http://twitter.com/iboudreau"
"10964","ImmortalTech",61,124,"http://twitter.com/ImmortalTech"
"11124","iowahawkblog",95,74,"http://twitter.com/iowahawkblog"
"11523","jamiekilstein",57,133,"http://twitter.com/jamiekilstein"
"11738","jayrosen_nyu",62,117,"http://twitter.com/jayrosen_nyu"
"11917","jeffjarvis",51,147,"http://twitter.com/jeffjarvis"
"11928","jeffrae",170,37,"http://twitter.com/jeffrae"
"11941","JeffSharlet",58,129,"http://twitter.com/JeffSharlet"
"12116","JesseLaGreca",90,79,"http://twitter.com/JesseLaGreca"
"12506","joerogan",111,62,"http://twitter.com/joerogan"
"12570","johncusack",89,82,"http://twitter.com/johncusack"
"12772","jopauca",49,159,"http://twitter.com/jopauca"
"12935","JPBarlow",55,139,"http://twitter.com/JPBarlow"
"13524","Kaydreein",56,135,"http://twitter.com/Kaydreein"
"13574","keder",462,11,"http://twitter.com/keder"
"13600","KeithOlbermann",582,6,"http://twitter.com/KeithOlbermann"
"13655","kennethlipp",49,154,"http://twitter.com/kennethlipp"
"13694","kesgardner",53,144,"http://twitter.com/kesgardner"
"14036","Korgasm_",72,100,"http://twitter.com/Korgasm_"
"14038","Korkie",44,179,"http://twitter.com/Korkie"
"14058","kpereira",107,65,"http://twitter.com/kpereira"
"14308","ladygaga",57,132,"http://twitter.com/ladygaga"
"14442","latinorebels",41,194,"http://twitter.com/latinorebels"
"14519","Lawrence",267,21,"http://twitter.com/Lawrence"
"14553","lcranston1939",62,118,"http://twitter.com/lcranston1939"
"14601","LeeCamp",47,167,"http://twitter.com/LeeCamp"
"15360","LupeFiasco",343,17,"http://twitter.com/LupeFiasco"
"15489","maddow",180,35,"http://twitter.com/maddow"
"15493","MaddowBlog",47,169,"http://twitter.com/MaddowBlog"
"15572","majorityfm",45,173,"http://twitter.com/majorityfm"
"16142","maxkeiser",136,48,"http://twitter.com/maxkeiser"
"16636","michellemalkin",82,89,"http://twitter.com/michellemalkin"
"16723","MikeBloomberg",357,16,"http://twitter.com/MikeBloomberg"
"16844","Min_Reyes",114,59,"http://twitter.com/Min_Reyes"
"16895","misosusanowa",43,185,"http://twitter.com/misosusanowa"
"16986","MittRomney",52,145,"http://twitter.com/MittRomney"
"17067","mmfa",43,183,"http://twitter.com/mmfa"
"17068","MMFlint",1065,3,"http://twitter.com/MMFlint"
"17311","MotherJones",92,78,"http://twitter.com/MotherJones"
"17334","MoveOn",58,130,"http://twitter.com/MoveOn"
"17425","MrHortonscycles",61,122,"http://twitter.com/MrHortonscycles"
