city,urb1997,urbangroth,mining,manufactural,RD,eduction,openness
茂名市,19.33784036,0.657797666,0.069276419,3.035408239,0.023426626,1.127234142,0.004983089
肇庆市,24.96606396,0.140480029,0.056704845,5.50890692,0.060933996,1.101686653,0.042638426
惠州市,33.69226729,0.550033788,0.127594678,16.49847034,0.134863882,1.292184168,0.1814135
梅州市,19.40184049,0.240680565,1.603585564,1.587507226,0.053435719,1.143920203,0.023534921
汕尾市,24.13469436,0.724525811,0.072906673,4.354426745,0.017857674,0.848239531,0.041550096
河源市,20.11975656,0.174262705,0.113040559,2.518482781,0.057696746,1.044311101,0.042613756
阳江市,26.60527931,0.452703483,0.08668842,3.746089782,0.040250284,1.05016649,0.012465138
清远市,19.43404417,0.346935573,0.071151012,3.270545844,0.041892558,1.007885658,0.00891315
东莞市,25.12914628,0.558303607,0.009656439,14.04143637,0.108652142,1.458226111,0.146797673
潮州市,25.40213342,0.131416045,0.067563376,8.241238661,0.054659743,1.011205247,0.008122244
梧州市,19.56860613,0.021965349,0.544672267,2.310879747,0.06385696,1.095146871,0.030532805
北海市,25.85537402,0.135209618,0.192820833,3.852332735,0.145837296,1.280831907,0.026868736
防城港市,22.65025152,0.397882668,0.251661375,2.747559088,0.094384143,1.132609722,0.008653138
钦州市,10.20527289,0.106992545,0.370927272,2.453678525,0.046637952,0.84496996,0.029041664
三亚市,35.26339691,0.356843164,0.211328087,1.50936272,0.109930377,0.952729938,0.001938346
成都市,32.19806104,0.524624186,0.098835672,7.388509616,0.562686673,1.371604324,0.29560987
自贡市,21.83665644,0.371768313,0.640433779,5.229781999,0.061428835,0.76171755,0.002265013
攀枝花市,52.7443647,0.015882687,3.875180932,11.08731479,0.134916352,1.169275049,0.020815196
泸州市,14.39284621,0.197997041,0.271780188,2.796359494,0.054724553,0.784385261,0.00143594
德阳市,17.98048754,0.264831567,0.23923609,6.806225578,0.06453778,0.864806258,0.011968435
绵阳市,18.45477632,0.307336751,1.055401899,4.018099042,0.366185201,0.889571119,0.030930399
广元市,16.60901978,0.223348873,1.312599534,2.041096803,0.070883139,1.031027483,0.000589966
遂宁市,13.23018458,0.45073303,0.025378971,3.356205039,0.018184652,0.846885229,0.001890394
内江市,13.02411134,0.416977818,0.501126431,3.415761711,0.044700623,0.978708387,0.003989197
乐山市,22.5163827,0.184261835,1.050093214,4.627798035,0.138613861,0.896746818,0.00790565
南充市,11.90435863,0.520174345,0.012587404,2.868941565,0.052035384,0.877930326,0.004914165
宜宾市,15.59400972,0.153733037,0.543141244,3.271778314,0.033910439,0.877903581,0.002800495
贵阳市,44.46585107,0.114301927,1.424102903,9.032147539,0.480861704,1.632182013,0.015596866
六盘水市,18.30166003,0.187336332,5.234958861,2.449213971,0.051123111,0.897849634,0.00537647
遵义市,13.94018167,0.107164368,0.080891178,4.162042309,0.048385796,0.944867073,0.018513303
曲靖市,10.9545287,0.136553337,0.433627323,2.458374001,0.044401322,1.09358812,0.003980864
西安市,40.4096553,0.153525022,0.110705614,8.965309925,1.057879063,1.788165221,0.623003171
铜川市,45.19642639,0.046153695,6.613096336,4.599942166,0.105807665,1.281448389,0.00032765
宝鸡市,21.91792509,0.139608489,0.221075385,5.957181394,0.1005424,1.193279534,0.002832937
咸阳市,18.39551844,0.163961724,0.208725368,4.451498819,0.127338623,1.320403565,0.004943808
渭南市,16.27677483,0.593700973,1.80116662,3.016779084,0.108719287,1.168732333,0.004941816
延安市,19.48966813,0.339072946,2.579121249,1.020074752,0.111951995,1.616586808,0.089755125
汉中市,17.49587686,0.127592378,0.181685906,2.313533659,0.126269269,1.068027569,0.000525128
兰州市,53.71532482,0.152485448,0.650419291,11.06706049,0.726076703,1.774854164,0.017494641
银川市,54.63750943,0.165087423,1.672839414,8.027881567,0.617324489,1.628685887,0.010895994
石嘴山市,56.40189686,0.056786697,4.338088289,8.587369425,0.081037277,1.148028093,0.000125986
